Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C16, C18, C2, C22, C28, C29, C3, C33",0402,12,100n,
"C10, C11",0805,2,22u,
"C15, C17, C19, C32, C4",0805,5,10u,
"C23, C26, C27, C43",0402,4,2u2,
"C24, C25, C30, C31, C6, C7",0402,6,1uf,
"C44, C45",0402,2,2.2n,
C5,0402,1,10n,
"C8, C9",0402,2,10p,
"D1, D2",0805,2,LED,
FB1,0603,1,120 ohms @ 100 mhz,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,TF-01A,1,Micro_SD_Card,
J4,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J5,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
"R1, R10, R4, R5, R6, R7, R9",0402,7,10k,
"R11, R12",0402,2,450,
"R13, R14",0402,2,10ohm,
"R15, R16",0402,2,5k1,
"R2, R3",0402,2,1.5k ohm,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
"SW2, SW3, SW4, SW5, SW6",SW_Push_1P1T_XKB_TS-1187A,5,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,
U2,SOT-223-3_TabPin2,1,AMS1117,
U3,SOT-23-6,1,USBLC6-2SC6,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U5,WQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias,1,TPA6132A2RTE,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16mhz,
